"order_id","courier_id","courier_age_years","courier_rating_1_to_5","restaurant_latitude_deg","restaurant_longitude_deg","customer_latitude_deg","customer_longitude_deg","order_type","vehicle_type","temperature_celsius","humidity_percent","precipitation_mm","weather_description","traffic_level","distance_km","delivery_time_min","order_type_factor","vehicle_type_factor","traffic_level_cleaned","traffic_level_factor","weather_description_cleaned","weather_category","long_delivery_flag","average_speed_kmph"
"B379","BANGRES18DEL02",34,4.5,12.913041,77.683237,13.043041,77.813237,"Snack ","scooter ",19.5,93,0,"mist","Very High",37.17,85.26666667,"Snack","scooter","very high","very high","mist","Rainy",1,26.1555903039032
"5D6D","BANGRES19DEL01",23,4.4,12.914264,77.6784,12.924264,77.6884,"Drinks ","motorcycle ",20.45,91,0,"mist","Low",3.34,28.58333333,"Drinks","motorcycle","low","low","mist","Rainy",0,7.01107871801878
"7A6A","COIMBRES13DEL02",38,4.7,11.003669,76.976494,11.053669,77.026494,"Buffet ","motorcycle ",23.86,78,0,"mist","Moderate",10.05,35.18333333,"Buffet","motorcycle","moderate","moderate","mist","Rainy",0,17.1387967804016
"70A2","CHENRES12DEL01",32,4.6,12.972793,80.249982,13.012793,80.289982,"Snack ","scooter ",26.55,87,0,"mist","High",9.89,43.45,"Snack","scooter","high","high","mist","Rainy",1,13.6570771001151
"9BB4","HYDRES09DEL03",22,4.8,17.431668,78.408321,17.461668,78.438321,"Buffet ","motorcycle ",21.43,65,0,"broken clouds","Moderate",11.3,30.6,"Buffet","motorcycle","moderate","moderate","broken clouds","Clear",0,22.156862745098
"95B4","RANCHIRES15DEL01",33,4.7,23.369746,85.33982,23.479746,85.44982,"Meal ","scooter ",17.51,69,0,"clear sky","High",19.11,38.16666667,"Meal","scooter","high","high","clear sky","Clear",0,30.0419213947562
"9EB2","MYSRES15DEL02",35,4.6,12.352058,76.60665,12.482058,76.73665,"Meal ","motorcycle ",18.03,82,0,"scattered clouds","Very High",28.41,50,"Meal","motorcycle","very high","very high","scattered clouds","Clear",1,34.092
"1102","HYDRES05DEL02",22,4.8,17.433809,78.386744,17.563809,78.516744,"Buffet ","motorcycle ",21.08,65,0,"broken clouds","Very High",31.62,81.78333333,"Buffet","motorcycle","very high","very high","broken clouds","Clear",1,23.1978805797105
"CDCD","DEHRES17DEL01",36,4.2,30.327968,78.046106,30.397968,78.116106,"Snack ","motorcycle ",12.44,77,0,"clear sky","High",11.59,36.36666667,"Snack","motorcycle","high","high","clear sky","Clear",0,19.1219065060383
"D987","KOCRES16DEL01",21,4.7,10.003064,76.307589,10.043064,76.347589,"Meal ","motorcycle ",23.95,88,0,"mist","Moderate",7.57,25.1,"Meal","motorcycle","moderate","moderate","mist","Rainy",0,18.0956175298805
